Skills,Education,Experience,ID,Category
"and experience in marketing, supply, and financial performance reporting. Experience",and Training,"professional with project management skills and experience in marketing, supply, and financial performance reporting. Experience",22571461,CONSULTANT
AND ACTIVITIES,"Master of Business Administration : Business Technology The Michael G. Foster School of Business, University of Washington ï¼​ City , State ,",04/2015 to 04/2015,91189201,CONSULTANT
Pharmacy operations,"and Training
2012",in community pharmacy including compounding and managerial experience.Â Enjoys,33919379,CONSULTANT
Strong understanding of supply chain principles with an expertise in warehouse management.,"Master of Science : Computer Engineering May 2014 University of Florida , City , State , USA",in Manhattan Associates' Warehouse Systems.,65062795,CONSULTANT
", outstanding problem solving/troubleshooting abilities, and","Bachelor of Science : Industrial Technology 1992 Southern Illinois University City , State , USA",with,20176584,CONSULTANT
needed as an Office Manager. Daily responsibilities:,May 2010,"in accounting and finance, real estate, as well as customer service.Â",91116867,CONSULTANT
", leadership skills, listening skills,",Degree,of 4+ years. Excellent knowledge in the,29196643,CONSULTANT
", and am","and project management consultant with a career path that emphasizes strategy and development. Throughout my career, my passion",Owner/Principle Consultant May 2013 to Current,13569152,CONSULTANT
. Qualified Customer,al Background,"self-starter who is highly customer service-oriented, organized and possesses strong time management skills. Qualified Customer",13215696,CONSULTANT
assessment for the CFO and direct reports.,"and Training
2010",and expertise to help businesses execute on their,31016926,CONSULTANT
. problem solving skills.,2002,"in sales and customer service, along Excellence in Salesforce CRM, Microsoft Dynamics CRM and",32433431,CONSULTANT
and a track record of generating,"Master of International Affairs 2006 Columbia University - School of International & Public Affairs City , State Studied international politics and",in developing integrated communications and media relations programs that,32637306,CONSULTANT
"administrative support, Clients, Customer Service, Customer Support, Detail oriented, Direct Selling, filing, Hematology, Managing, Medical",and Training,Fragrance Consultant 11/2013 to 12/2013,79570655,CONSULTANT
"along with my experience in marketing, sales, and accounting will assist in your company's",al and,"in accounting,",80527194,CONSULTANT
"Active Directory, AD, Analyst, Architect, CCNA, Cisco Certified, clustering, Hardware, client, database, DHCP, DNS, Facilities Management,","and Training
1 2001",while allowing challenges and,38457612,CONSULTANT
:,and Training,with Cerner implementations as a Consultant and Employee. Experience with all phases of implementation from Current,29647215,CONSULTANT
and managerial training to staff.,and Training,in electrical and quality engineering for numerous engineering and quality control processes.,12526702,CONSULTANT
"Experience with IFC jeopardy projects, portfolio management.Â Â",and Training,"working with IFC on many sectors - oil and gas, mining, renewable energy and",28243590,CONSULTANT
with strong,"MA : Film &Media Production , 09/2016","in film, television and video production.",26234972,CONSULTANT
"advertising, approach, brand strategy, Brand Management, Budget, com, content development, content, driving, email, Event Management, Leadership, legal, marketing, Market, Marketing Communications, marketing materials, Marketing & Sales, masonry, materials, media relations,","Strategic Leadership Certificate Goldey-Beacom College , City , State","Company Name City , State Communications Consultant 01/2008 to 01/2015",63670997,CONSULTANT
", effective presentations, ability to multi-task and prioritize, time management. Creative,",Degree :,and technical knowledge can contribute and positively impact strategic improvements.,15535920,CONSULTANT
Skills Experience Total Years Last Used,and Training,"spanning 12 years and having worked for Oracle for a period of 11 years, I",21366189,CONSULTANT
Com,"BA : Rhetoric and Communications , 05/2011",,15119529,CONSULTANT
BANQUET & CATERING DIRECTOR Â,"Florida International University 1984 Bachelors Degree : Hospitality Management City , State","Company Name City , State",11835339,CONSULTANT
Professional demeanor,and experience to a job in Administration. Customer service-oriented,to a job in Administration. Customer service-oriented,18856440,CONSULTANT
"Anatomy, Biochemistry, Oral, delivery, Dermatology, documentation, English, Family Medicine, focus, Genetics, GMP, health education, Hindi,","and Training
2016",October 2015,21512769,CONSULTANT
"attention to detail, Automation, Basic, budgets, budget, business development, developing business, business planning, business plans, C,",al services and products provider.Oversaw operations,"poised to bring talent and vision to a respected organization that values hard work,",13313917,CONSULTANT
Strategy & Operations Cross Functional Team Management,Master of Science : Software Management Carnegie Mellon University - 2014,"in devising innovative strategies and solutions to resolve complex business challenges. Adept at managing projects,",88907739,CONSULTANT
"AIX, automation, change management, Citrix, Consulting, client, clients, database, delivery, designing, documentation, FTP, HP-UX, HR,","MBA : Information Systems 2015 Park University City , State Information Systems",in training and development of associates along with development of documentation.,51432451,CONSULTANT
. Good understanding of Software,and Training,"in Gathering Requirements, design, development, testing and implementing solutions in SAP and mobile. Worked as",22259768,CONSULTANT
"in CSS, Java Script, Themes & Skins, User controls, Custom Controls and intrinsic state management functionality in","Master of Science : Computer Science , 2014 University of Illinois ï¼​ City , State , USA Computer Science",with Web based,43311839,CONSULTANT
", looking to join a growing organization as part of","Master of Science : Oil and Gas Enterprise Management 2015 University of Aberdeen , City , State , UK","and exceptional people skills, looking to join a growing organization as part of",11415967,CONSULTANT
Media Consulting and Digital Content Analysis,"Associate of Arts : Mass Communications Lincoln College ï¼​ City , State , USA",Consultant,19936735,CONSULTANT
developed during my 9-year career in,May 2005,July 2015 to September 2015,18079050,CONSULTANT
* Research / Analysis *Data collection and analysis *,"Ph.D : International Relations Oxford Brookes University International Relations
2012",Proven expertise in long- and short-term projects with tight deadlines and,11333660,CONSULTANT
"Deployment, Maintenance, Active Directory, Testing, Workstations, Access, Technical Support, Printers, Blackberry, Windows Server 2003,","Stratford University City , State , US Associate of Applied Science : Network Management and Security Stratford University, Woodbridge, VA","in installing, maintaining, and repairing",12374933,CONSULTANT
Microsoft Word Â Â Â Â Â Â Â Â Â Â Â Â,and Training,Leasing Consultant Jan 2016 to Current,29076405,CONSULTANT
"Accounting, Active Directory, Apple, Architect, Backup Exec, Capacity Planning, Citrix, CCA, Citrix Certified Administrator, Citrix Metaframe,",and Training,"building, improving, supporting and architecting ASP-type infrastructures.",26291616,CONSULTANT
to learn Perl.,"BS , Business/MIS Brigham Young University ï¼​ City , State Business/MIS 3.77","Program Manager, delivering enterprise-grade on-premises and SaaS products at Microsoft while being customer obsessed.",20314980,CONSULTANT
"Adobe suite, application development, approach, Assembler, Billing, business analysis, C, Carpenter, CL, client server, hardware, hardware","Master's degree : Computer Science , 2000 University of South Carolina ï¼​ City , State , USA","Consultant , 01/2001 to 11/2014 Company Name ï¼​ City , State",31169070,CONSULTANT
", Client Relationship Management,",inside the United States.,in Customer Relationship Management in roles of Solution,51724595,CONSULTANT
"Extensive experience with Microsoft
Â Financial aptitude with In-depth knowledge of sourcing vendors for medical Office; Word, Excel, Access",and Training,"with Microsoft
Â Financial aptitude with In-depth knowledge of sourcing vendors for medical Office; Word, Excel, Access",27788376,CONSULTANT
"accounting, accountant, balance, budget analysis, budgets, change management, consultant, contracts, controller, cost control, credit,","Bachelor of Arts : Economics Accounting Montclair State College ï¼​ City , State Economics Accounting",Consultant,88691367,CONSULTANT
", market insight and business acumen","Bachelors Degree : Biology University of Texas ï¼​ City , State","in Texas, California, and Oklahoma markets. Comfortable with",20255404,FITNESS
. Action-oriented with strong ability to communicate effectively with,"Hofstra 2012 Bachelor of Arts : Exercise Science City , State , USA",manager with excellent client and project management skills. Action-oriented with strong ability to communicate effectively with,31042953,FITNESS
", ability to communicate well, and excellent work ethic.",.,General Manager/Fitness Director,36139251,FITNESS
Sales Management,al seminars/products to inspire a commitment to a healthier lifestyle. Assist clients of all ages and fitness levels in,"Fitness Instructor , 02/2013 to Current",10235429,FITNESS
", with a Costumer Service background combined with over 10 years of Management. I am skilled with","Johnson C. Smith University 1996 Bachelor Of Science : Business Administration City , State",Company Name General Manager,11332602,FITNESS
towards growing the company.,"M.S : Project Management University of Wisconsin City , State Project Management",and coordination skills towards growing the company.,14515954,FITNESS
. Â,al programs for department. Holds team meetings on a regular schedule.,General Manager May 2017 to Current,38108845,FITNESS
"Account Management, E nthusiastic people person, Advanced problem-solving, Great organizational skills , Active Learning, Calendaring, Client","Bachelor : Arts Human Resource Management , 2013 Saint Leo University ï¼​ City , State",Group Fitness Instructor,97123005,FITNESS
"client interaction, forklift, health and safety standards, Excel, office, PowerPoint, Microsoft Word, recruiting, safety, website",May 2016,January 2016,19599699,FITNESS
"accounting, administrative support, benefits, billing, clerical, counseling, clientele, client, clients, customer service, data entry, database,",al Background,"Receptionist Personable and enthusiastic Receptionist with more than 15 years of experience in training, operations, and customer",34151183,FITNESS
"Selling, coaching, motivating, presenting, writing, customer relations, fitness training, professional speaking (radio, seminars, TV), organizing, tech",and Training,"Online Coaching, Personal Training 01/2011 to Current Company Name City",24994145,FITNESS
Work History,"B.S : Business Administration , 2019","running start-ups, emerging companies and alternative investments. Strong",35164503,FITNESS
MS Office proficient,Associate of Science : Nursing Collin County Community College Nursing,Senior Medical Recruiter,90365216,FITNESS
", and I excel within a highly competitive environment with",and Training,"I possess effective communication, Customer Service skills, and I excel within a highly competitive environment with",77266989,FITNESS
",","al background in Physical Education,Â Sport TrainingÂ and exercise Swimming. Experienced Personal",Personal,24444525,FITNESS
Project management Proficient with Microsoft Office and Outlook Ability to work in a team setting,"Master's of Business Administration (MBA) : General Management 2012 UNIVERSITY OF PHOENIX City , State General Management",in marketing and customer service in the fitness industry; marketing and selling,12019284,FITNESS
Project management,"Bachelor of Science : Criminal Justice , 1999 South Carolina State University ï¼​ City , State",energetic Personal Trainer and former college/professional athlete with over 20 years conducting group and one-on-one training,20279756,FITNESS
I am a very organized person with a professional and positive attitude. I am great at keeping an open dialogue and making myself easily,"and Health Teacher Company Name ï¼​ City , State",03/2015 to Current,45656814,FITNESS
"Appointment Setter, Multi-tasker, Adaptable, Microsoft Word, Microsoft Excel, Outlook, OneDrive, Excellent Phone Skills, Able to work in","Associate of Arts : Management 2005 Mesa Community College , City , State , USA","Company Name City , State Fitness Instructor 04/2015 to Current",38650096,FITNESS
IFTA - Group Fitness,and Training,Group Fitness Instructor Jan 2016 to Mar 2016,27974588,FITNESS
AS400/Kronos/Anosos/Cerner. As well with proprietary software for data entry and retrieval; update and maintain customer data; skilled with,projects to foster widespread understanding of the prevention and treatment of illnesses.,in the office environment. Seeking a challenging role in a,27084878,FITNESS
necessary to engage clients and achieve results.,"in fitness, human performance, and","and education in fitness, human performance, and",70603826,FITNESS
Internet research,"Associates Degree : Business Management , 2007 Harford Community College ï¼​ City , State , United States",Receptionist and Veterinary Technician,16605352,FITNESS
.,"06/2012 Centennial High School GPA: GPA: 3.98 Full time student and athlete all four years. GPA: 3.98
5/2013 Collin College Full time student taking my basic courses. Texas Tech",Training and Development professional with strong leadership and relationship-building skills.,11522068,FITNESS
in working in both team-based and,and Training,performing fitness,13367322,FITNESS
with experience in educating members and community about health related topics Innovative in designing and,"al seminars for active adults and members, providing wellness and health information.",in educating members and community about health related topics Innovative in designing and,10816645,FITNESS
LeadershipÂ,"and Training
2018","in customer service now, for a little over two years. I am at the prime of my life where every learning",67032711,FITNESS
Solution-focused counseling,and Training,to learn about the mental health field.,80000092,FITNESS
in all tasks Coordinate procedures,"Masters of Education : Counseling , May 2018 University of Houston Counseling","Executive Assistant/Office Manager , 01/2014 to Current Company Name",26459032,FITNESS
in fitness operations . Accomplishments,"Bachelor of Science Degree : Recreation Management Marketing Appalachian State University - City , State Recreation Management Marketing",creating and implementing fitness programs designed to accommodate a,24251588,FITNESS
and resources leaders need to accelerate the process of implementing change with their team members,"M.B.A : Alternative Dispute 1 2008 Pepperdine University City , State Alternative Dispute The emphasis of my MBA is in alternative dispute","Operations Manager 01/2002 to Current Company Name City , State",56286525,FITNESS
"in customer service, sales and",al opportunities.,"and opportunities. Personal skills and qualities include punctuality, taking initiative,",95769832,FITNESS
. Successful in hiring and retaining highly motivated and member oriented employees.,"Bachelor of Arts : Liberal Arts 2003 Northwest Nazrene University , City , State Liberal Arts",Excellent manager of both,59487170,FITNESS
Verbal Communication,"and Training
2010",providing customer support Â·Managed a high-volume workload within a deadline-driven environment Â· Pleasant and,75156649,FITNESS
", and other aspects of college preparation.","Bachelor of Arts , Human Services and Counseling 2008 Lindsey Wilson College ï¼​ City , State , USA",AVID Tutor Aug 2011 to May 2013,17658471,FITNESS
for the Healthcare Professional Course,al services and materials.,Clinical Study Coordinator II,21122155,FITNESS
as well as be,al Background,I worked in customer service for a long time. Face to,27397245,FITNESS
and knowledge to make a positive contribution and assist in the growth of both the company and my,"al training, seminars and meetings for personal training staff for professional growth.","in face to face service and sales, seeking a new opportunity in a",28669770,FITNESS
"banking, CPR, Fluent in English, financial, inventory, Excel, Microsoft Office, PowerPoint, Word, Microsoft Word, Works, POS, retail, Spanish,","Bachelor of Business Administration : Accounting , Summer 2016 University of Houston, C.T. Bauer College of Business ï¼​ City , State GPA:",and abilities to seek,30990885,FITNESS
.,programs for colleagues and physicians.,passionate and highly motivated fitness professional focused on creating dynamic and positive experiences for fitness members. Well,54259150,FITNESS
"Extremely productive in a high volume, high stress, environments","Bachelor of Arts , Television, Film and Media Studies June 2016 California State University of Los Angeles ï¼​ City , State",Social Media Producer Nov 2016 to Current,19975121,FITNESS
"Hands-on Experience: AutoCAD, AutoDesk Inventor, Pro Engineer, Creo, MicroStation, SolidWorks, Catia V5, Matlab, Ansys,","al experience in 3D Modelling and Product Design 1 year of hands-on experience in FEA,","in 3D Modelling and Product Design 1 year of hands-on experience in FEA,",22488036,FITNESS
"Patient-focused care, Excellent interpersonal skills, Compassionate and trustworthy caregiver, Detail-oriented, Medical terminology",and Training,"Company Name City , State Concierge 02/2016 to Current",10969918,FITNESS
Soft Skills,"leadership University of Virginia ï¼​ City , State , USA",customer service executive with a,12923795,FITNESS
SKILLS,"Business operations, Managing, Relationship-building","Administrative, Instructor, Public relations",34792238,FITNESS
to achieve business,BBA : Management 2017 Ct Bauer University of Houston - City,and business-related academic knowledge that blends,23011221,FITNESS
Staff training,"and Training
2006",Transforms high-potential staff into outstanding,23004695,FITNESS
in varying audiences 2+ years experience working with,2012,Advanced written and spoken communication skills in varying audiences 2+ years experience working with,20457611,FITNESS
and lead to a career. I am a hard working individual with great problem solving skills,and Training,"Cashier Current Company Name City , State",32517106,FITNESS
"who thrives in a fast-paced, dynamic environment. Dedicated Customer","Paralegal Certificate Paralegal 2009 Branford Hall Career Institute City , State","Customer Service Representactive 08/2014 to Current Company Name City , State Processed applications, payments, corrections, endorsements",63282405,FITNESS
Photoshop Effective in a team environment,"Bachelor of Arts : Political Science 2006 California State University City , State Political Science",Certified Master Personal Trainer 06/2013 to Current,15293959,FITNESS
"Administrative, Leadership, Analytical, S upervisory, Excellent Written and Verbal, Customer service, Excellent Computer Skills (Microsoft","and training programs, with emphasis on the development and implementation of the","in military and corporate working environments, dedicated",22093368,FITNESS
"Skilled individual and group coach Trained in nutrition, alternative medicine, and exercise physiology",'s Organization of Older Students: November 2006 o Ordinary People,coaching individuals of various ethnic and socio-economic,29425788,FITNESS
Used:,"High School Diploma : General Education , 2004 Camden County High School ï¼​ City , State General Education",Fitness Director,32651555,FITNESS
"clinics through outside sales, cold calls and flyers.","Bachelor of Arts : Sport Management May 2010 Warner University City , State","in sales, marketing and management. Knowledgeable about e-commerce, social media and creative",27903191,FITNESS
. Passionate about helping,2015,Objective,96761538,FITNESS
in directing creatively designed fitness classes to 33 members that increased physical readiness 97%.,and community involvement.,Interpersonal Awareness and,39805617,FITNESS
"Have experience working on multiple different POS systems, Microsoft, Excel and other organization sites used for scheduling. Â Also, very",and Training,"working on multiple different POS systems, Microsoft, Excel and other organization sites used for scheduling. Â Also, very",21238396,FITNESS
Strong problem solving ability,"High School Diploma : 2011 Eagan High School ï¼​ City , State",Manager / Fitness Instructor,10568350,FITNESS
". Provides athletic high-performance programming, training, education, presentations and hands-on",", presentations and hands-on","with successful facility design, builds and operations. Recruits and retains high",30757456,FITNESS
Six Sigma Yellow Belt Certification.,California University of Pennsylvania 1 2010 CCAC City,Company Name March 2012 to Current Procurement Analyst,24708621,FITNESS
Customer Satisfaction Staff Leadership,"High School Diploma : 2007 2010 Hale High School - City , State
2 Years Completed, Murray State College Tishomingo, OK",Personal Trainer for eight plus years conducting one on one training sessions in upscale fitness studios and gyms.,28321954,FITNESS
Responsible Fast Learner,and Training,in customer/patient care.,15932017,FITNESS
and talents within the contest of the organization. I am aÂ strong planner andÂ problem,and Training,and grants the opportunity to make a measurable impact. Much of my experience is,12938389,FITNESS
"and a strong ability to build relationships.Â Dedicated supporter of team,Â driven to","Master in Teaching 2010 Heritage University ï¼​ City , State Â K-8 Endorsement",YOGA INSTRUCTOR Aug 2012 to Current,17286050,FITNESS
"INVESTIGATIONS: Financial, auditing, digital evidence, surveillance, undercover, fraud, websites, mining social networks, cell phone","Certification : Linguistic Statement Analysis Technique 2011 LSAT Institute City , State","Specialized in investigating organized crime, money laundering, financial fraud, bank fraud",14107571,FITNESS
. Adapts easily and quickly to changes in the work environment.,1996,04/2016 to 07/2016,25507648,FITNESS
Customer service,and Training,"Company Name | City , State Receiving Manager 08/2020 - Current",89858892,FITNESS
"Human Resources (4 years), Microsoft Office (6 years), Community Outreach (3 years), Community Relations (1 year), Sales (7 years),","and Training
2016",07/2016 to 12/2016,25838512,FITNESS
Conversational in American Sign Language,al and social areas,May 2015,17163375,FITNESS
.,programs to promote development of participants' physical attributes and social skills.,in general maintenance and construction tasks ranging from,11130200,FITNESS
", with strong work ethic.",2015,"excellent communication skills, with strong work ethic.",13037145,FITNESS
Understanding of human anatomy,.,Intern 03/2013 to 10/2013 Company Name,16038911,FITNESS
Effective verbal and written communication skills,"Connecticut Initial Educator Elementary Certification, K-6, June 2004 Sacred Heart University City , State","Senior Implementation Manager 07/2016 to Current Company Name City , State",29319314,FITNESS
"Asc, Qa, Emr, Pharmacy, Infection Control, Metrics, Risk Management, Satisfaction, Staffing, Trading, Training, Auditing, Instrumentation,",", and revised processes",to assume key leadership,10333051,FITNESS
& Competencies,", administrative, & fitness experience, and grow as a professional.",and grow as a professional.,29792535,FITNESS
"Clients, Training, Customer Service, Operations, Receptionist, Retail Sales, Sales, Account Management, And Sales, Bookkeeping, Cash, Cash",", and accountability. * Assisted clients in determining their overall","in a retail setting. Areas of expertise include sales, recruiting and",22855060,FITNESS
and past experiences in a way that is,", skills and past experiences in a way that is",in a way that is,69666645,FITNESS
"basic, Council, English, Instructor, LANGUAGES, Speaker, quality, read, safety, Spanish, supervising","M.A : Physical Education , 1 2011 North Park University Physical Education",Guest Lecturer,17660419,FITNESS
Licensed Notary,al and informational events for HPCA members.,"in MS Office; Excel, Spreadsheet creation; Word - Memos, minutes, invoices; Power Point, Outlook",12695799,FITNESS
Active listening skills,al Background,BUSINESS,29306433,FITNESS
Excellent communication skills Thrive in fast-paced environment,"Associate of Arts : General Business Mesa Community College ï¼​ City , State General Business Currently attending.
2014
High School Diploma James Madison Preparatory School ï¼​ City , State","working with the public, and over 1 year's worth of money-handling",29573698,FITNESS
: Proficient in data base management Entry level,and Training,Company Name August 2014 to Current Medical Scribe,13675377,FITNESS
Account reconciliation Billing and collections expert,"Associate of Applied Business Administration : Human Resources, Management Studies, Payroll Records, Accounting, and Business Law , 6
2007",to generate a,19938081,FITNESS
Program development and implementation,". Desires a role to develop, implement, and facilitate health and",in development and integration of wellness programs for adults. Topics of expertise include,16474898,FITNESS
"of establishing and maintaining relations with supervisors, coworkers and clients/patients will help the",and Training,Physical Therapist Technician in patient aide and well-being. A quick learner capable of handling a fast-paced setting as well as,12791244,FITNESS
.,"B.A : Sport and Recreation Management , May 2014 New England College ï¼​ City , State GPA: Graduated Magna Cum Laude.",Fitness Trainer,55746506,FITNESS
"Background in GPO and formulary processes Experience in specialty, hospital and primary care sales and injectable medications",University of Nebraska - Lincoln Master of Science : Marriage and Family Therapy Marriage and Family Therapy,"in specialty, hospital and primary care sales and injectable medications",95085510,FITNESS
,"Masters of Science (MS) , Business Administration & Criminal Justice 1 2005 Lindenwood University ï¼​ City , State",Account Executive Aug 2011,24767027,FITNESS
"administrative, arts, Articulate, customer service, direction, financial, hiring, managing, Marketing , ordering materials, neat, payroll, personnel,","al activities that include story telling, organized arts & crafts, singing, and games.","Child Center Asst dept head 05/2009 to Current Company Name City , State",76530505,FITNESS
built from presenting critical information to high level officers and government civilians on a daily basis. Experience,"M.S. : Kinesiology , 2015 University of Texas El Paso ï¼​ City , State , US","in analyzing threats and managing projects such as security, threat mitigation, and training.",32636041,FITNESS
"CNA, client, clients, client interaction, Internet Explorer, Mechanical, medication administration, Microsoft Excel, Microsoft Office, Microsoft",and Training,09/2013 to Current,24219583,FITNESS
Leadership/communication skills - Small business development,1996,06/2006 to 08/2015,25482567,FITNESS
CPR/AED Certified,"/Coach Company Name ï¼​ City , State",09/2013 to 03/2014,17576030,FITNESS
to engage and develop strong,"Bachelors of Science : Healthcare Administration , 2014 Southwestern College ï¼​ City , State GPA: Summa Cum Laude Graduate",managing business operations and,37087824,FITNESS
Organizing and recording data into Microsoft Word and Excel,High School Diploma : 2012,"R&D New Product Development Technician , 10/2015 to 10/2019",23477199,FITNESS
. Certified by the National Exercise and Sports Training,"High School Diploma : Jun 1988 BUENA HIGH SCHOOL ï¼​ City , State x Sports played: Varsity Swimming, Varsity Tennis, Varsity Soccer,","includes:
â€‹",19037403,FITNESS
"Administrative Management, Creative Lesson Planning, Curriculum Development, Goal Setting and Implementation,Â Athletic Program",and health lesson plans and curriculum for kindergarten- seventh grades,motivating students to achieve both academic and athletic goals.,17166018,FITNESS
"Microsoft Office (PowerPoint, Word, Excel)","Therapeutic Massage and Bodywork , 2013 Nevada School of Massage Therapy ï¼​ City , State
4.0 GPA",Rehabilitation Specialist / Massage Therapist,17431847,FITNESS
could greatly,2005,and how my skill set could contribute to the successful day-to-day running,31556198,FITNESS
in nutrition. Hi ghly effective at evaluating the nutritional needs of both adults and children with various,"Master of Science : Human Nutrition , 2015 University of New Haven ï¼​ City , State , USA",Fitness Attendant,10268614,FITNESS
Experience in Management Accountability,"Computer Information System Business Management Alabama State University City , State â€‹â€‹ â€‹",in Advertising,18767449,FITNESS
by attending professional development workshops such as Career Fair Preparation and Communication instructed by,by providing positive comments on their progress.,"sales employee skilled in event planning, Microsoft Excel, customer Service, Microsoft Word, and Microsoft Office. Strong sales",23063986,FITNESS
Cash handling,through Continuing Education programs.,04/2016 to Current,19774173,FITNESS
"Adobe Acrobat, Benefits, Blueprint, budget planning, business case, C, Coach, coaching, Council, Client, clients, data analysis, Data Collection,",", Board of",11/2015 to Current,57575888,FITNESS
"budget, Conflict Resolution, CPR, Customer Service, delivery, employee training, First Aid, forms, health promotion, HR, Leadership,","BS : Kinesiology , 12/12 University of Montevallo ï¼​ City , State Kinesiology Completed numerous courses in sports, health, and fitness with","in sports, health, and fitness related settings. Passionate about helping others set and reach their",29165698,FITNESS
Work History,"to provide acute,",in use of Electronic Medical Record (EMR),52684666,FITNESS
Microsoft Office Programs,"Bachelor of Science : Kinesiology 2012 East Carolina University , City , State","Company Name City , State Recreation & Sports Coordinator 03/2015 to Current",10428916,FITNESS
", written and oral",al events to do a sports clinic at.,in the fitness field; IÂ maintainÂ a passion for,20565486,FITNESS
". Extensive background in customer service, recruitment and retention, mediation and","Associate of Applied Business Administration Human Resources, Management Studies, Payroll Records and Accounting, and Business Law",,62870550,FITNESS
"Microsoft Office (Word, Excel, Outlook, and PowerPoint), great organizational skills, self-starter, excellent problem solver Additional Information",November 2015,10/2015 to Current,28172023,FITNESS
and translate their academic interests into the real,"M.S : Ed, Health Promotion & Physical Education Virginia Polytechnic Institute and State University (Virginia Tech) ï¼​ City , State Ed, Health",01/2015 to Current,17915015,FITNESS
I need to supervise and direct patients in,and Training,in weight management and,21178545,FITNESS
Used,"Bachelor of Science : Criminal Justice, Anthropology , 2014 The State University of New Jersey ï¼​ City , State , United States","in customer service and support with recognized strengths in account maintenance, problem-solving and",35302620,FITNESS
Wellness Coach New customer,"Master of Science : Communications - Media Management , 1995 Virginia Commonwealth University ï¼​ City , State , USA Communications -",Goal oriented and self-motivated with,38642923,FITNESS
"Skills & Abilities Management Punctual,","high school diploma : 2009
high school : Automotive Skills General Education Automotive Skills General Education Career Management Class",general labor/apprentice | obx fire tech | nov2014-dec2014 Listen,12092347,FITNESS
Cheerful and energetic,"J.D. : Law 2000 Universidad Santa Maria City , State , Venezuela",through high quality customer care. Bilingual,24905947,FITNESS
Courteous demeanor Adaptive team player,al Background,"Independent Beauty Advisor , 10/2013 ï¼​ Current Company Name ï¼​ City , State",10738095,APPAREL
", to drive",and Training,Process Improvement,33665485,APPAREL
"Accounts Payable, Accounts Receivable, acquisitions, agile, approach, business owner, business process, business processes, CISA, closing,",and Credentials,"Internal Audit Manager 08/2012 to Current Company Name City , State",22852364,APPAREL
Excellent communication skills,"Bachelor of Arts : 5 2012 Hebert H. Lehman College - City , State",,14413257,APPAREL
", regular displays of high levels of professionalism and problem-solving skills. Bloomberg","Bachelor of Science 2008 Oakland University , City , State","in Signals analysis, Geo-Spatial analysis, Electronic Warfare analysis, Networks and Threat analysis, and DNR. Limited knowledge",10562768,APPAREL
"Adobe Acrobat, AIX, ArcServe, AS/400, AS400, business process, Business Process Improvement, change management, Compaq, CA,",and Training,"in various areas of the Information Technology Field. Including five years experience installing, configuring, and",13418452,APPAREL
"with the ability to troubleshoot problems. Enjoys working in a fast-paced, dynamic environment with the","Art Institute of Seattle Associate Degree : Fashion Design City , State GPA: Graduated at the top 5% of my class with Honors Fashion Design",in price,15746146,APPAREL
Exceptional time management skills Business and requirements analysis,al tools.,"in Vendor Compliance, Product Integrity/Quality, Customer Support/Sales and Business Office",72807293,APPAREL
Detailed & Organized,04/2018,01/2004 to 10/2016,12122372,APPAREL
"Assistant Manager, CPR, Credit, Editing Sku's. Financial, P&L. First Aid, Inforem, Inventory Control, Lotus Notes, Mainframe, Managerial,","Philo High School 1979 High School Diploma City , State , United States",Company Name April 2013 to Current Supervisor,31362807,APPAREL
"Art, blueprints, budgets, cash registers, charts, COM, Communication skills, Cooking, credit, Customer service, employee training, employee",Jun 2007,11/2013 to 12/2015,12059610,APPAREL
"closing, Competitive, client, customer service, delivery, direct sales, English, expense reports, inventory control, market trends, market, meetings,",2009,04/2012 to Current,19402977,APPAREL
": Work, PowerPoint, Excel, proprietary inventory systems Salesforce.com, social media
13 years conducting business to business sales","Bachelor of Science Florida State University - City , State","Account Manager/Business Development , 07/2018 to 07/2019",17714174,APPAREL
"Film and Photography: Camera operating, film directing, art directing, creative planning, production management, budgeting skills, non-linear",2016,03/2016 to 07/2016,14304010,APPAREL
involving relapse prevention.,to obtain placement in an agency that provides services to clients who are seeking treatment for substance,04/2017 to 01/2015,35121930,APPAREL
?Self-motivated,2010,"in business development, sales and marketing. Understands and excels at",13764840,APPAREL
amp; Strengths,and Training,in hospitality and office settings. Excel at,29028935,APPAREL
"Adobe, Advertising, benchmarking, competitive research, forecasting, Google Analytics, Marketing research, marketing communications,",al events.,creative marketing professional who consistently delivers high-quality and results-focused marketing content. In-depth knowledge of,15479281,APPAREL
. Passionate about helping customers and creating a satisfying shopping experience.,"High School Diploma : 5 2013 Henry County High School ï¼​ City , State , United States",Core Qualifications,11677077,APPAREL
. Meets deadlines and works with a high level of multicultural,"and Training
2009",10/2017 to 12/2017,21807211,APPAREL
"MAC OS, Microsoft Office, Word, Excel, PowerPoint, Outlook, Photoshop,Cision, Fashion GPS, Social Annex.",.,"in impacting brand presence, performance and",70750649,APPAREL
"Product Designer, Marketing, Prototype, Prototypes, Clients, New Products, Business Development, Cases, Interior Design, Collections, Credit,","Bachelor of Fine Arts : Industrial Design College of Creative Studies Detroit ï¼​ City , State , US College of Creative Studies Detroit, MI Degree:",07/2014 to Current,12860543,APPAREL
and knowledge of use of Office Systems,introductory course in computers.,10/2012 to Current,58208591,APPAREL
Receive return merchandise Active listening skills,"High School Diploma 2015 Northeast High School , City , State , USA",at managing front of store needs in busy environments. Friendly and energetic with strong communication and,16391949,APPAREL
", meeting hourly selling and expressed credit goals.","Bachelor of Science Degree : Business Management , 05/2010 University of Phoenix Business Management",in the toy manufacturing industry. Meticulous and collaborative professional,36136569,APPAREL
